phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,27672,31755,"1",,,,,,
1,31756,32604,"2",,,,,,
2,32605,34067,"3",,,,,,
3,34068,34714,"4",,,,,,
4,42754,47191,"1",,,,,,
5,47192,48177,"2",,,,,,
6,48178,52087,"3",,,,,,
7,52088,53516,"4",,,,,,
8,60439,64735,"1",,,,,,
9,64736,65585,"2",,,,,,
10,65586,67625,"3",,,,,,
11,67626,68374,"4",,,,,,
12,75420,80783,"1",,,,,,
13,80784,81599,"2",,,,,,
14,81600,83265,"3",,,,,,
15,83266,84558,"4",,,,,,
